Date,n-transactions,hash-rate,difficulty
2013-01-01,31896,24.29,2979636.62
2013-01-02,39433,23.11,2979636.62
2013-01-03,42309,23.70,2979636.62
2013-01-04,48589,20.88,2979636.62
2013-01-05,39596,22.07,2979636.62
2013-01-06,33026,21.03,2979636.62
2013-01-07,40288,24.74,2979636.62
2013-01-08,38624,23.26,3249549.58
2013-01-09,43190,21.65,3249549.58
2013-01-10,52539,23.58,3249549.58
2013-01-11,52749,19.55,3249549.58
2013-01-12,45671,19.22,3249549.58
2013-01-13,49441,19.71,3249549.58
2013-01-14,44560,24.88,3249549.58
2013-01-15,45022,20.52,3249549.58
2013-01-16,53629,19.87,3249549.58
2013-01-17,48100,19.87,3249549.58
2013-01-18,49139,20.19,3249549.58
2013-01-19,56170,22.78,3249549.58
2013-01-20,41371,21.32,3249549.58
2013-01-21,40441,23.58,3249549.58
2013-01-22,43752,20.68,3249549.58
2013-01-23,46678,21.65,3249549.58
2013-01-24,46221,23.91,3249549.58
2013-01-25,48511,20.51,2968775.33
2013-01-26,52366,22.14,2968775.33
2013-01-27,55413,22.43,2968775.33
2013-01-28,52180,21.84,2968775.33
2013-01-29,51703,23.91,2968775.33
2013-01-30,41219,21.40,2968775.33
2013-01-31,51633,28.04,2968775.33
2013-02-01,59382,22.58,2968775.33
2013-02-02,54465,23.76,2968775.33
2013-02-03,61164,24.35,2968775.33
2013-02-04,55005,25.97,2968775.33
2013-02-05,53420,28.01,3275464.59
2013-02-06,42555,25.07,3275464.59
2013-02-07,61237,24.10,3275464.59
2013-02-08,60921,24.75,3275464.59
2013-02-09,57750,22.14,3275464.59
2013-02-10,56443,26.70,3275464.59
2013-02-11,57594,25.89,3275464.59
2013-02-12,58551,23.28,3275464.59
2013-02-13,59090,25.56,3275464.59
2013-02-14,50928,26.70,3275464.59
2013-02-15,55647,28.66,3275464.59
2013-02-16,51433,30.77,3275464.59
2013-02-17,49635,30.29,3275464.59
2013-02-18,50374,29.22,3651011.63
2013-02-19,54519,30.13,3651011.63
2013-02-20,59748,31.40,3651011.63
2013-02-21,55916,35.75,3651011.63
2013-02-22,62171,29.22,3651011.63
2013-02-23,57886,29.40,3651011.63
2013-02-24,57164,29.76,3651011.63
2013-02-25,67144,35.39,3651011.63
2013-02-26,63438,28.13,3651011.63
2013-02-27,60949,36.84,3651011.63
2013-02-28,63021,31.04,3651011.63
2013-03-01,64535,34.31,4367876.00
2013-03-02,55825,32.57,4367876.00
2013-03-03,54459,33.00,4367876.00
2013-03-04,64044,38.00,4367876.00
2013-03-05,56868,32.57,4367876.00
2013-03-06,62760,35.17,4367876.00
2013-03-07,66770,33.00,4367876.00
2013-03-08,55857,31.70,4367876.00
2013-03-09,55546,36.91,4367876.00
2013-03-10,73844,40.17,4367876.00
2013-03-11,59289,40.39,4367876.00
2013-03-12,48484,25.62,4367876.00
2013-03-13,56690,33.44,4367876.00
2013-03-14,58069,44.58,4847647.15
2013-03-15,62776,40.97,4847647.15
2013-03-16,34187,42.41,4847647.15
2013-03-17,35348,48.92,4847647.15
2013-03-18,43485,43.14,4847647.15
2013-03-19,46108,47.47,4847647.15
2013-03-20,46276,45.06,4847647.15
2013-03-21,55564,53.74,4847647.15
2013-03-22,60584,54.22,4847647.15
2013-03-23,52914,50.61,4847647.15
2013-03-24,51335,72.23,6695826.28
2013-03-25,48993,45.27,6695826.28
2013-03-26,49061,51.92,6695826.28
2013-03-27,53207,41.94,6695826.28
2013-03-28,60989,59.58,6695826.28
2013-03-29,62259,60.58,6695826.28
2013-03-30,59196,55.25,6695826.28
2013-03-31,43986,52.26,6695826.28
2013-04-01,52770,72.56,6695826.28
2013-04-02,63276,58.25,6695826.28
2013-04-03,63941,59.25,6695826.28
2013-04-04,66892,53.26,6695826.28
2013-04-05,61373,54.93,7672999.92
2013-04-06,51718,64.08,7672999.92
2013-04-07,63541,61.79,7672999.92
2013-04-08,61680,64.46,7672999.92
2013-04-09,66979,64.08,7672999.92
2013-04-10,63881,70.18,7672999.92
2013-04-11,68407,62.55,7672999.92
2013-04-12,58690,65.99,7672999.92
2013-04-13,53517,60.65,7672999.92
2013-04-14,55471,62.17,7672999.92
2013-04-15,54496,61.03,7672999.92
